Intended Distance (m),Actual Distance,Abs Difference,Max Difference
0.2,0.199755759,0.000244241,0.014385436
0.21,0.209269177,0.000730823,
0.22,0.219429958,0.000570042,
0.23,0.230854996,0.000854996,
0.24,0.235398189,0.004601811,
0.25,0.247688195,0.002311805,
0.26,0.25682603,0.00317397,
0.27,0.267761553,0.002238447,
0.28,0.282450269,0.002450269,
0.29,0.290973292,0.000973292,
0.3,0.299739662,0.000260338,
0.31,0.308521816,0.001478184,
0.32,0.323064292,0.003064292,
0.33,0.332659812,0.002659812,
0.34,0.340353705,0.000353705,
0.35,0.347761057,0.002238943,
0.36,0.355365238,0.004634762,
0.37,0.369810179,0.000189821,
0.38,0.377846524,0.002153476,
0.39,0.385621154,0.004378846,
0.4,0.393032404,0.006967596,
0.41,0.40769066,0.00230934,
0.42,0.416972027,0.003027973,
0.43,0.426092967,0.003907033,
0.44,0.436712299,0.003287701,
0.45,0.44777113,0.00222887,
0.46,0.466338023,0.006338023,
0.47,0.476465847,0.006465847,
0.48,0.485478274,0.005478274,
0.49,0.494173765,0.004173765,
0.5,0.506483021,0.006483021,
0.51,0.510274078,0.000274078,
0.52,0.518409209,0.001590791,
0.53,0.536245984,0.006245984,
0.54,0.546838959,0.006838959,
0.55,0.556369061,0.006369061,
0.56,0.564388319,0.004388319,
0.57,0.572162459,0.002162459,
0.58,0.579872063,0.000127937,
0.59,0.596327832,0.006327832,
0.6,0.604426696,0.004426696,
0.61,0.61221467,0.00221467,
0.62,0.618862376,0.001137624,
0.63,0.625552679,0.004447321,
0.64,0.642491994,0.002491994,
0.65,0.650183238,0.000183238,
0.66,0.658277374,0.001722626,
0.67,0.665709392,0.004290608,
0.68,0.673176043,0.006823957,
0.69,0.690372762,0.000372762,
0.7,0.698303601,0.001696399,
0.71,0.705862596,0.004137404,
0.72,0.713736692,0.006263308,
0.73,0.722038506,0.007961494,
0.74,0.740224692,0.000224692,
0.75,0.750116999,0.000116999,
0.76,0.759560653,0.000439347,
0.77,0.768604435,0.001395565,
0.78,0.777956391,0.002043609,
0.79,0.786899912,0.003100088,
0.8,0.80679773,0.00679773,
0.81,0.816486882,0.006486882,
0.82,0.825579426,0.005579426,
0.83,0.834673291,0.004673291,
0.84,0.842168564,0.002168564,
0.85,0.847728266,0.002271734,
0.86,0.863697566,0.003697566,
0.87,0.868448388,0.001551612,
0.88,0.874552006,0.005447994,
0.89,0.878892606,0.011107394,
0.9,0.899073027,0.000926973,
0.91,0.905065914,0.004934086,
0.92,0.912013091,0.007986909,
0.93,0.929761273,0.000238727,
0.94,0.938222418,0.001777582,
0.95,0.946043832,0.003956168,
0.96,0.954619893,0.005380107,
0.97,0.974826275,0.004826275,
0.98,0.984906043,0.004906043,
0.99,0.993691611,0.003691611,
1,1.003058754,0.003058754,
1.01,1.011746104,0.001746104,
1.02,1.032086988,0.012086988,
1.03,1.040059076,0.010059076,
1.04,1.047668427,0.007668427,
1.05,1.055850277,0.005850277,
1.06,1.061898068,0.001898068,
1.07,1.068828597,0.001171403,
1.08,1.077809554,0.002190446,
1.09,1.084199001,0.005800999,
1.1,1.104552434,0.004552434,
1.11,1.111104595,0.001104595,
1.12,1.118146509,0.001853491,
1.13,1.124458027,0.005541973,
1.14,1.131363194,0.008636806,
1.15,1.138372919,0.011627081,
1.16,1.145992572,0.014007428,
1.17,1.155614564,0.014385436,
1.18,1.167478712,0.012521288,
1.19,1.182045279,0.007954721,
1.2,1.190360244,0.009639756,
1.21,1.201278307,0.008721693,
1.22,1.213296998,0.006703002,
1.23,1.226419535,0.003580465,
1.24,1.239669696,0.000330304,
1.25,1.252169196,0.002169196,
1.26,1.264370051,0.004370051,
1.27,1.27703141,0.00703141,
1.28,1.289076947,0.009076947,
1.29,1.300833701,0.010833701,
1.3,1.311605938,0.011605938,
1.31,1.319365335,0.009365335,
1.32,1.323804092,0.003804092,
1.33,1.329020264,0.000979736,
1.34,1.336803713,0.003196287,
1.35,1.352241423,0.002241423,
1.36,1.364389389,0.004389389,
1.37,1.362897757,0.007102243,
1.38,1.377615729,0.002384271,
1.39,1.388947605,0.001052395,
1.4,1.400771989,0.000771989,
1.41,1.412626326,0.002626326,
1.42,1.423836366,0.003836366,
1.43,1.430946904,0.000946904,
1.44,1.443291092,0.003291092,
1.45,1.454594478,0.004594478,
1.46,1.46573716,0.00573716,
1.47,1.474932037,0.004932037,
1.48,1.483868104,0.003868104,
1.49,1.491795741,0.001795741,
1.5,1.499815929,0.000184071,
