specified,actual,abs difference
0.2,0.197344203,0.002655797
0.21,0.205188228,0.004811772
0.22,0.220431854,0.000431854
0.23,0.229678016,0.000321984
0.24,0.238972241,0.001027759
0.25,0.253698094,0.003698094
0.26,0.262292871,0.002292871
0.27,0.269982389,1.76106E-05
0.28,0.276905353,0.003094647
0.29,0.289117695,0.000882305
0.3,0.292649632,0.007350368
0.31,0.314297676,0.004297676
0.32,0.328743395,0.008743395
0.33,0.33689264,0.00689264
0.34,0.343909539,0.003909539
0.35,0.351657202,0.001657202
0.36,0.361994583,0.001994583
0.37,0.364372028,0.005627972
0.38,0.37059118,0.00940882
0.39,0.386216658,0.003783342
0.4,0.396039593,0.003960407
0.41,0.404986875,0.005013125
0.42,0.4241196,0.0041196
0.43,0.434608717,0.004608717
0.44,0.440742657,0.000742657
0.45,0.447732272,0.002267728
0.46,0.453776528,0.006223472
0.47,0.472915918,0.002915918
0.48,0.483713279,0.003713279
0.49,0.491172561,0.001172561
0.5,0.498119299,0.001880701
0.51,0.504429494,0.005570506
0.52,0.51865807,0.00134193
0.53,0.525401975,0.004598025
0.54,0.531651246,0.008348754
0.55,0.539914586,0.010085414
0.56,0.558611884,0.001388116
0.57,0.567188184,0.002811816
0.58,0.576074944,0.003925056
0.59,0.584089622,0.005910378
0.6,0.601800176,0.001800176
0.61,0.609061088,0.000938912
0.62,0.616148862,0.003851138
0.63,0.622916125,0.007083875
0.64,0.64039119,0.00039119
0.65,0.649234761,0.000765239
0.66,0.659914493,8.55067E-05
0.67,0.671013845,0.001013845
0.68,0.681870408,0.001870408
0.69,0.703445949,0.013445949
0.7,0.713017692,0.013017692
0.71,0.721933403,0.011933403
0.72,0.730207986,0.010207986
0.73,0.738092131,0.008092131
0.74,0.744319282,0.004319282
0.75,0.76168876,0.01168876
0.76,0.766438296,0.006438296
0.77,0.772914353,0.002914353
0.78,0.780656494,0.000656494
0.79,0.786024234,0.003975766
0.8,0.783211293,0.016788707
0.81,0.792509344,0.017490656
0.82,0.802750992,0.017249008
0.83,0.825264348,0.004735652
0.84,0.837046226,0.002953774
0.85,0.850740656,0.000740656
0.86,0.864171275,0.004171275
0.87,0.870692274,0.000692274
0.88,0.877440647,0.002559353
0.89,0.883561913,0.006438087
0.9,0.891193461,0.008806539
0.91,0.913219094,0.003219094
0.92,0.919263607,0.000736393
0.93,0.924570122,0.005429878
0.94,0.930621591,0.009378409
0.95,0.938197577,0.011802423
0.96,0.946937903,0.013062097
0.97,0.960099332,0.009900668
0.98,0.97577833,0.00422167
0.99,0.986354708,0.003645292
1,0.99354011,0.00645989
1.01,1.00162177,0.00837823
1.02,1.025910444,0.005910444
1.03,1.03647458,0.00647458
1.04,1.046407033,0.006407033
1.05,1.056375433,0.006375433
1.06,1.065810253,0.005810253
1.07,1.074309174,0.004309174
1.08,1.083501423,0.003501423
1.09,1.092045509,0.002045509
1.1,1.100166818,0.000166818
1.11,1.108288336,0.001711664
1.12,1.116020013,0.003979987
1.13,1.124210631,0.005789369
1.14,1.132524423,0.007475577
1.15,1.14125446,0.00874554
1.16,1.151643911,0.008356089
1.17,1.164090448,0.005909552
1.18,1.176124194,0.003875806
1.19,1.185550902,0.004449098
1.2,1.206226388,0.006226388
1.21,1.21283977,0.00283977
1.22,1.221899391,0.001899391
1.23,1.231944504,0.001944504
1.24,1.242374923,0.002374923
1.25,1.251266596,0.001266596
1.26,1.257563793,0.002436207
1.27,1.277016401,0.007016401
1.28,1.27459766,0.00540234
1.29,1.277393192,0.012606808
1.3,1.289105172,0.010894828
1.31,1.30453852,0.00546148
1.32,1.320736522,0.000736522
1.33,1.335689264,0.005689264
1.34,1.3501347,0.0101347
1.35,1.361034933,0.011034933
1.36,1.369548676,0.009548676
1.37,1.377747044,0.007747044
1.38,1.385855026,0.005855026
1.39,1.394004435,0.004004435
1.4,1.401717299,0.001717299
1.41,1.408958883,0.001041117
1.42,1.416509777,0.003490223
1.43,1.425443389,0.004556611
1.44,1.433648636,0.006351364
1.45,1.443111993,0.006888007
1.46,1.4527336,0.0072664
1.47,1.463205565,0.006794435
1.48,1.475399753,0.004600247
1.49,1.487779127,0.002220873
1.5,1.503777202,0.003777202
